Restaurant,City,State/Province,Country,Original Air Date
Mrs. Robino's,Wilmington,Delaware,United States of America,2019-07-25
Tasty Kabob,El Paso,Texas,United States of America,2019-07-25
Saimin Dojo,Kapa'a,Hawaii,United States of America,2019-08-02
Kansas City Taco Company,Kansas City,Missouri,United States of America,2019-08-02
Lick It Up,El Paso,Texas,United States of America,2019-08-02
Banksia,Kansas City,Missouri,United States of America,2019-08-16
Kenji Burger,Kauai,Hawaii,United States of America,2019-08-16
Rulis' International Kitchen,El Paso,Texas,United States of America,2019-08-16
Arable,Santa Fe,New Mexico,United States of America,2019-08-23
Jarocho,Kansas City,Missouri,United States of America,2019-08-23
Desert Oak Barbeque,El Paso,Texas,United States of America,2019-08-23
Extra Virgin,Kansas City,Missouri,United States of America,2019-09-06
DELIght,El Paso,Texas,United States of America,2019-09-06
Joseph's Culinary Pub,Santa Fe,New Mexico,United States of America,2019-09-06
Krokstrom,Kansas City,Missouri,United States of America,2019-09-13
The Beestro,Santa Fe,New Mexico,United States of America,2019-09-13
La Colonial Tortilla Factory,El Paso,Texas,United States of America,2019-09-13
Dirty Water Dough Co.,Boston,Massachusetts,United States of America,2019-10-04
Dr. Field Goods Kitchen,Santa Fe,New Mexico,United States of America,2019-10-04
Noble Pie Parlor,Reno,Nevada,United States of America,2019-10-04
Washoe Public House,Reno,Nevada,United States of America,2019-10-11
Rowley Farmhouse Ales,Santa Fe,New Mexico,United States of America,2019-10-11
Bagelsaurus,Cambridge,Massachusetts,United States of America,2019-10-11
Veggie Galaxy,Cambridge,Massachusetts,United States of America,2019-10-18
Paper Dosa,Santa Fe,New Mexico,United States of America,2019-10-18
Yoshi's Unique Deli,Reno,Nevada,United States of America,2019-10-18
V's Cellar Door,Juneau,Alaska,United States of America,2019-11-01
Pucker Wilson's,Juneau,Alaska,United States of America,2019-11-01
Forno Rosso,Juneau,Alaska,United States of America,2019-11-01
Zerelda's Bistro,Juneau,Alaska,United States of America,2019-11-08
Highland Fried,Cambridge,Massachusetts,United States of America,2019-11-08
Carolina Kitchen and Barbeque Company,Sparks,Nevada,United States of America,2019-11-08
Perly's Restaurant and Delicatessen,Richmond,Virginia,United States of America,2019-11-22
In Bocca al Lupo,Juneau,Alaska,United States of America,2019-11-22
Jax,Ottawa,Ontario,Canada,2019-11-22
In a Pickle,Waltham,Massachusetts,United States of America,2019-11-29
Pigwich,Kansas City,Missouri,United States of America,2019-11-29
Pauli's,Boston,Massachusetts,United States of America,2019-11-29
Char-B-Que,Reno,Nevada,United States of America,2019-12-06
Pop's Market,Richmond,Virginia,United States of America,2019-12-06
Pelican Seafood Market & Grill,Ottawa,Ontario,Canada,2019-12-06
Carena's Jamaican Grille,Chesterfield,Virginia,United States of America,2020-01-03
Occo Kitchen & Bar,Ottawa,Ontario,Canada,2020-01-03
Full Belly Deli,Reno,Nevada,United States of America,2020-01-03
Meat Press,Ottawa,Ontario,Canada,2020-01-17
Citizen Cider,Burlington,Vermont,United States of America,2020-01-17
Soul Taco,Richmond,Virginia,United States of America,2020-01-17
The Foolish Chicken,Ottawa,Ontario,Canada,2020-01-31
Bluebird Barbecue,Burlington,Vermont,United States of America,2020-01-31
ZZQ Texas Craft Barbeque,Richmond,Virginia,United States of America,2020-01-31
Grammy's Goodies,Wheat Ridge,Colorado,United States of America,2020-02-07
Pingala Cafe,Burlington,Vermont,United States of America,2020-02-07
Herm's Inn,Logan,Utah,United States of America,2020-02-07
Areyto,Denver,Colorado,United States of America,2020-02-21
El Salvador Los Primas,Logan,Utah,United States of America,2020-02-21
Taco Gordo,Burlington,Vermont,United States of America,2020-02-21
Welton St. Cafe,Denver,Colorado,United States of America,2020-03-06
Hong's Chinese Dumplings,Burlington,Vermont,United States of America,2020-03-06
Tandoori Oven,Logan,Utah,United States of America,2020-03-06
Florence's Cafe,Oklahoma City,Oklahoma,United States of America,2020-03-20
The Pie Dump,Garland,Utah,United States of America,2020-03-20
Just Be Kitchen,Denver,Colorado,United States of America,2020-03-20
Bun Daddy,Juneau,Alaska,United States of America,2020-04-03
il porcellino salumi,Denver,Colorado,United States of America,2020-04-03
Sabores,Logan,Utah,United States of America,2020-04-03
Blue Pan,Denver,Colorado,United States of America,2020-04-17
Aviv,Portland,Oregon,United States of America,2020-04-17
Maymoes,Logan,Utah,United States of America,2020-04-17
Pirate Republic,Ft. Lauderdale,Florida,United States of America,2020-06-19
The Saucee Sicilian,Oklahoma City,Oklahoma,United States of America,2020-06-19
Seasons and Regions Seafood Grill,Portland,Oregon,United States of America,2020-06-19
Krakatoa,Hollywood,Florida,United States of America,2020-07-10
Güero,Portland,Oregon,United States of America,2020-07-10
Travel by Taste,Warr Acres,Oklahoma,United States of America,2020-07-10
Butch & Babes,Burlington,Vermont,United States of America,2019-12-27
The Fancy Biscuit,Richmond,Virginia,United States of America,2019-12-27
Art Is In,Ottawa,Ontario,Canada,2019-12-27
Panini Pete's,Fairhope,Alabama,United States of America,2020-04-24
La Piazza Al Forno,Glendale,Arizona,United States of America,2020-04-24
Forte European Tapas Bar & Bistro,Las Vegas,Nevada,United States of America,2020-04-24
Grinders Pizza,Kansas City,Missouri,United States of America,2020-04-24
Catelli's,Geyserville,California,United States of America,2020-05-01
Tuckaway Tavern & Butchery,Raymond,New Hampshire,United States of America,2020-05-01
Red Wagon Pizza Company,Minneapolis,Minnesota,United States of America,2020-05-01
Fresh Catch,Honolulu,Hawaii,United States of America,2020-05-01
Voula's Offshore Café,Seattle,Washington,United States of America,2020-05-08
Pagoda Restaurant,North Pole,Alaska,United States of America,2020-05-08
Pizzeria Luigi,San Diego,California,United States of America,2020-05-08
Mike's City Diner,Boston,Massachusetts,United States of America,2020-05-08
Rino's Place,East Boston,Massachusetts,United States of America,2020-05-15
Momocho,Cleveland,Ohio,United States of America,2020-05-15
Don Antonio By Starita,Manhattan,New York,United States of America,2020-05-15
Se7en Bites Bakeshop,Orlando,Florida,United States of America,2020-05-15
Funk 'n Waffles,Syracuse,New York,United States of America,2020-05-22
Lucky's Café,Cleveland,Ohio,United States of America,2020-05-22
Pinky's Westside Grill,Charlotte,North Carolina,United States of America,2020-05-22
Gorilla BBQ,Pacifica,California,United States of America,2020-05-22
Fox Bros Bar-B-Q,Atlanta,Georgia,United States of America,2020-05-29
Krazy Fish,Charlotte,North Carolina,United States of America,2020-05-29
Blackbrick,Miami,Florida,United States of America,2020-05-29
Hillbilly Hot Dogs,Lesage,West Virginia,United States of America,2020-05-29
Chino Bandido,Phoenix,Arizona,United States of America,2020-06-05
Scully's Tavern,Miami,Florida,United States of America,2020-06-05
North End Café,Manhattan Beach,California,United States of America,2020-06-05
The Russian River Pub,Forestville,California,United States of America,2020-06-05
Gaul & Co. Malt House,Philadelphia,Pennsylvania,United States of America,2020-08-21
Stogie Joes Tavern,Philadelphia,Pennsylvania,United States of America,2020-08-21
Hardena Restaurant,Philadelphia,Pennsylvania,United States of America,2020-08-21
Stone Sisters Pizza Bar,Oklahoma City,Oklahoma,United States of America,2020-09-18
Yonder,Portland,Oregon,United States of America,2020-09-18
3 Sons Brewing Co.,Dania Beach,Florida,United States of America,2020-09-18
La Piazza Al Forno,Glendale,Arizona,United States of America,2020-08-07
Boston Burger Company,Boston,Massachusetts,United States of America,2020-08-07
Pam's Kitchen,Seattle,Washington,United States of America,2020-08-07
Nico's Pier 38,Honolulu,Hawaii,United States of America,2020-08-07
Audrey Jane's Pizza Garage,Boulder,Colorado,United States of America,2020-08-28
Niko Niko's,Houston,Texas,United States of America,2020-08-28
The Grilled Cheeserie,Nashville,Tennessee,United States of America,2020-08-28
Uncle Lou's,Memphis,Tennessee,United States of America,2020-08-28
Hruska's Kolaches,Salt Lake City,Utah,United States of America,2020-09-11
Barrio Cafe,Phoenix,Arizona,United States of America,2020-09-11
Maui Fresh Streatery,Kahului,Hawaii,United States of America,2020-09-11
Chaps Pit Beef,Baltimore,Maryland,United States of America,2020-09-11
Andreoli – Italian Grocer,Scottsdale,Arizona,United States of America,2020-09-25
Tocabe American Indian Eatery,Denver,Colorado,United States of America,2020-09-25
Trina's Starlite Lounge,Somerville,Massachusetts,United States of America,2020-09-25
The Alley Restaurant at Aiea Bowl,Aiea,Hawaii,United States of America,2020-09-25
Urban Chislic,Sioux Falls,South Dakota,United States of America,2021-01-01
"""O"" So Good Restaurant",Garretson,South Dakota,United States of America,2021-01-01
Lalibela,Sioux Falls,South Dakota,United States of America,2021-01-01
Bread & Circus Sandwich Kitchen,Sioux Falls,South Dakota,United States of America,2021-01-08
The Hungry Robot,Fairbanks,Alaska,United States of America,2021-01-08
Passage to India,Fargo,North Dakota,United States of America,2021-01-08
Look's Marketplace,Sioux Falls,South Dakota,United States of America,2021-01-29
Nichole's Fine Pastry & Cafe,Fargo,North Dakota,United States of America,2021-01-29
Hari Om Cuisine of India,Fairbanks,Alaska,United States of America,2021-01-29
Daily Clean Food & Drink,Sioux Falls,South Dakota,United States of America,2021-02-12
Lavelle's Bistro,Fairbanks,Alaska,United States of America,2021-02-12
Sol Ave. Kitchen,Moorhead,Minnesota,United States of America,2021-02-12
Salty's On 2nd,Fairbanks,Alaska,United States of America,2021-02-26
Mein Diner Food Truck,Fairbanks,Alaska,United States of America,2021-02-26
Jazz Bistro On 4th,Fairbanks,Alaska,United States of America,2021-02-26
Pinky G's Pizzeria,Jackson,Wyoming,United States of America,2021-03-05
Mac & Ernie's Roadside Eatery,Tarpley,Texas,United States of America,2021-03-05
Lauer-Krauts,Brighton,Colorado,United States of America,2021-03-05
John Mull's Meats and Road Kill Grill,Las Vegas,Nevada,United States of America,2021-03-19
Buttermilk Kitchen,Atlanta,Georgia,United States of America,2021-03-19
Hodad's,San Diego,California,United States of America,2021-03-19
Dough Pizzeria Napoletana,San Antonio,Texas,United States of America,2021-03-19
Tacos Chiwas,Phoenix,Arizona,United States of America,2021-04-09
Kenny & Ziggy's,Houston,Texas,United States of America,2021-04-09
Pier 23 Café,San Francisco,California,United States of America,2021-04-16
Flying Mango,Des Moines,Iowa,United States of America,2021-04-16
Jitlada Restaurant,Los Angeles,California,United States of America,2021-04-16
Mom Mom's Kitchen,Philadelphia,Pennsylvania,United States of America,2020-11-20
J28 Sandwich Bar,Hollywood,Florida,United States of America,2020-11-20
Blackbird Woodfire,Fargo,North Dakota,United States of America,2020-11-20
Paradise Valley Burger Co.,Phoenix,Arizona,United States of America,2021-05-21
Otto's Sausage Kitchen,Portland,Oregon,United States of America,2021-05-21
La Texanita,Santa Rosa,California,United States of America,2021-05-21
Pies 'N' Thighs,Brooklyn,New York,United States of America,2021-06-04
La Scarola,Chicago,Illinois,United States of America,2021-06-04
Island Frydays,Cincinnati,Ohio,United States of America,2021-06-04
Jimmy's Famous Seafood,Baltimore,Maryland,United States of America,2021-06-04
Bludso's Bar & Que,Los Angeles,California,United States of America,2021-06-11
The Wild Thaiger,Phoenix,Arizona,United States of America,2021-06-11
Broders' Cucina Italiana,Minneapolis,Minnesota,United States of America,2021-06-11
Sonny's Famous Steak Hogies,Hollywood,Florida,United States of America,2021-06-11
Maria Empanada,Denver,Colorado,United States of America,2021-06-25
Crepe Expectations,Las Vegas,Nevada,United States of America,2021-06-25
Louie Mueller's Barbecue,Taylor,Texas,United States of America,2021-06-25
Little Jewel of New Orleans,Los Angeles,California,United States of America,2021-06-25
Herbie's Bar & Chowder House,Marathon,Florida,United States of America,2021-04-30
Cholo Soy Cocina,West Palm Beach,Florida,United States of America,2021-04-30
Rustica,Moorhead,Minnesota,United States of America,2021-04-30
Coolinary Cafe,Palm Beach Gardens,Florida,United States of America,2021-07-16
Irie Island Eats,Marathon,Florida,United States of America,2021-07-16
Joey's Kitchen,Lahaina,Hawaii,United States of America,2021-07-16
Castaway Waterfront Restaurant & Sushi Bar,Marathon,Florida,United States of America,2021-07-30
South Maui Fish Company,Kihei,Hawaii,United States of America,2021-07-30
Le Yellow Sub,Hilo,Hawaii,United States of America,2021-07-30
The Butcher Shop Beer Garden & Grill,West Palm Beach,Florida,United States of America,2021-08-13
Traveler's Table,Houston,Texas,United States of America,2021-08-13
Cafe Pesto,Hilo,Hawaii,United States of America,2021-08-13
Weights + Measures,Houston,Texas,United States of America,2021-09-03
Fresco Cafe Italiano,Houston,Texas,United States of America,2021-09-03
Hilo Bay Cafe,Hilo,Hawaii,United States of America,2021-09-03
NW Sausage and Deli,Centralia,Washington,United States of America,2021-09-17
Be More Pacific,Houston,Texas,United States of America,2021-09-17
Matteo's Osteria,Wailea,Hawaii,United States of America,2021-09-17
The Toasted Coconut,Houston,Texas,United States of America,2021-10-01
Mackinaw's Restaurant,Chehalis,Washington,United States of America,2021-10-01
Zydeco Kitchen & Cocktails,Bend,Oregon,United States of America,2021-10-01
Once Upon A Thyme,Chehalis,Washington,United States of America,2021-10-15
The Pit Room,Houston,Texas,United States of America,2021-10-15
Soy Bistro,Brentwood,Tennessee,United States of America,2021-10-15
Riddim N Spice,Nashville,Tennessee,United States of America,2021-10-22
Rockin' Dave's Bagel Bistro,Bend,Oregon,United States of America,2021-10-22
Arempa's,Salt Lake City,Utah,United States of America,2021-10-22
Nicky's Coal Fired,Nashville,Tennessee,United States of America,2021-11-05
Dump City Dumplings,Bend,Oregon,United States of America,2021-11-05
Papito Moe's,West Jordan,Utah,United States of America,2021-11-05
The Feisty Pint,Grand Junction,Colorado,United States of America,2021-11-19
Fattoush Cafe,Nashville,Tennessee,United States of America,2021-11-19
Santo Taco,Salt Lake City,Utah,United States of America,2021-11-19
59er Diner,Leavenworth,Washington,United States of America,2021-11-26
Sauce Boss Southern Kitchen,Draper,Utah,United States of America,2021-11-26
Graze Nashville,Nashville,Tennessee,United States of America,2021-11-26
Kobe Japanese Restaurant,Millcreek,Utah,United States of America,2022-01-28
il Bistro Italiano,Grand Junction,Colorado,United States of America,2022-01-28
Red Rock Deli,Albuquerque,New Mexico,United States of America,2022-01-28
Curry Fried Chicken,Salt Lake City,Utah,United States of America,2021-12-17
Frank's Famous Chicken & Waffles,Albuquerque,New Mexico,United States of America,2021-12-17
TacoParty,Grand Junction,Colorado,United States of America,2021-12-17
Seoul Casa,Anchorage,Alaska,United States of America,2022-02-25
Hickory House Ribs,Aspen,Colorado,United States of America,2022-02-25
Kitsune,Albuquerque,New Mexico,United States of America,2022-02-25
Waffles and Whatnot,Anchorage,Alaska,United States of America,2022-03-04
Highlands Alehouse,Aspen,Colorado,United States of America,2022-03-04
Guava Tree Cafe,Albuquerque,New Mexico,United States of America,2022-03-04
J's Prairie Rose,Laramie,Wyoming,United States of America,2022-03-11
The Acre,Albuquerque,New Mexico,United States of America,2022-03-11
Haute Quarter Grill,Anchorage,Alaska,United States of America,2022-03-11
Born in a Barn,Laramie,Wyoming,United States of America,2022-03-18
Sweet Melissa,Laramie,Wyoming,United States of America,2022-03-18
Tequila 61,Anchorage,Alaska,United States of America,2022-03-18
Coda Bakery,Albuquerque,New Mexico,United States of America,2022-03-25
Crowbar & Grill,Laramie,Wyoming,United States of America,2022-03-25
Originale,Anchorage,Alaska,United States of America,2022-03-25
Alibi Wood Fire,Laramie,Wyoming,United States of America,2022-04-15
Rowley Inn,Cleveland,Ohio,United States of America,2022-04-15
Ray's Place,Anchorage,Alaska,United States of America,2022-04-15
Chaatable,Nashville,Tennessee,United States of America,2022-04-29
Mabel's BBQ,Cleveland,Ohio,United States of America,2022-04-29
Mercado La Carreta,San Juan,,Puerto Rico,2022-05-06
El Grifo,Caguas,,Puerto Rico,2022-05-06
El Fogon De La 31,Juncos,,Puerto Rico,2022-05-06
Budare,San Juan,,Puerto Rico,2022-05-20
Double Dub's,Laramie,Wyoming,United States of America,2022-05-20
Mason's Creamery,Cleveland,Ohio,United States of America,2022-05-20
Salao Tapas & Bar,Caguas,,Puerto Rico,2022-05-27
Haldi Chowk Indian Bistro,Middletown,New Jersey,United States of America,2022-05-27
Fat Cats,Cleveland,Ohio,United States of America,2022-05-27
Orozco's Restaurant,San Juan,,Puerto Rico,2022-07-08
Turf Surf & Earth,Somerville,New Jersey,United States of America,2022-07-08
Astoria Cafe & Market,Cleveland,Ohio,United States of America,2022-07-08
Good Company,Cleveland,Ohio,United States of America,2022-07-15
The Chubby Pickle,Highlands,New Jersey,United States of America,2022-07-15
Chúla Artisan Eatery,La Quinta,California,United States of America,2022-07-15
Pablo’s Tacos & Beer,Indio,California,United States of America,2022-07-29
Moo Yai Thai,Sea Bright,New Jersey,United States of America,2022-07-29
Big Pinks BBQ,Bridgewater Township,New Jersey,United States of America,2022-07-29
The Real Italian Deli,Palm Desert,California,United States of America,2022-08-05
Gastro Grind Burgers,Palm Desert,California,United States of America,2022-08-05
East Side Banh Mi,Nashville,Tennessee,United States of America,2022-08-05
Joe's Meat Market,South Bound Brook,New Jersey,United States of America,2022-08-12
Homegrown Taproom & Kitchen,Nashville,Tennessee,United States of America,2022-08-12
Pie Town Tacos,Nashville,Tennessee,United States of America,2022-08-12
El Mirasol Cocina Mexicana,Palm Springs,California,United States of America,2022-08-26
Gabino's Creperie,Palm Springs,California,United States of America,2022-08-26
King Tut's,Nashville,Tennessee,United States of America,2022-08-26
Panheads Pizzeria,New Smyrna Beach,Florida,United States of America,2022-09-09
Bottle Cap,Nashville,Tennessee,United States of America,2022-09-09
The Garlic,New Smyrna Beach,Florida,United States of America,2022-09-09
Redheaded Stranger,Nashville,Tennessee,United States of America,2022-09-16
Millie's Restaurant & Catering,Daytona Beach Shores,Florida,United States of America,2022-09-16
Arepita Beach,Daytona Beach,Florida,United States of America,2022-09-16
Moat Mountain,North Conway,New Hampshire,United States of America,2022-09-30
Amos Mosquito's,Atlantic Beach,North Carolina,United States of America,2022-09-30
Rose Villa Southern Table & Bar,Ormond Beach,Florida,United States of America,2022-09-30
Big Dave's Bagels & Deli,North Conway,New Hampshire,United States of America,2022-10-07
"Floyd's 1921 Restaurant, Bar & Catering",Morehead City,North Carolina,United States of America,2022-10-07
Third Wave Cafe,New Smyrna Beach,Florida,United States of America,2022-10-07
Barley & Salt Tap House and Kitchen,North Conway,New Hampshire,United States of America,2022-11-04
Shepard Barbecue,Emerald Isle,North Carolina,United States of America,2022-11-04
Ranchos Plaza Grill,Ranchos de Taos,New Mexico,United States of America,2022-11-04
Kindred,San Diego,California,United States of America,2022-11-11
Gutiz,Taos,New Mexico,United States of America,2022-11-11
Antonio's The Taste of Mexico,Taos,New Mexico,United States of America,2022-11-11
Tuetano Taqueria,San Diego,California,United States of America,2022-11-25
Shawarma Guys,San Diego,California,United States of America,2022-11-25
Donabe Asian Kitchen,Taos,New Mexico,United States of America,2022-11-25
Sovereign Thai,San Diego,California,United States of America,2022-12-16
Aly's Eats,Arroyo Seco,New Mexico,United States of America,2022-12-16
ACEQ Restaurant,Arroyo Seco,New Mexico,United States of America,2022-12-16
Nutmeg Bakery & Cafe,San Diego,California,United States of America,2023-01-06
NOLA on 5th,San Diego,California,United States of America,2023-01-06
Roof 106,Healdsburg,California,United States of America,2023-01-06
The Chef's Touch BBQ Rig,Santa Ynez,California,United States of America,2023-01-13
Chickpeas Mediterranean Cafe,Las Vegas,Nevada,United States of America,2023-01-13
Bossie's Kitchen,Santa Barbara,California,United States of America,2023-01-13
Bettina,Santa Barbara,California,United States of America,2023-01-27
No Butcher,Las Vegas,Nevada,United States of America,2023-01-27
Above the Crust,Las Vegas,Nevada,United States of America,2023-01-27
House of Dutch Pot,Las Vegas,Nevada,United States of America,2023-02-17
The Blue Owl,Santa Barbara,California,United States of America,2023-02-17
The Rebel House,Boca Raton,Florida,United States of America,2023-02-17
